VARIAN NAME,FRAGRANT,FORMULA,AQUADEST,ALKOHOL,GENDER,JENIS,UKURAN,HARGA,Cluster,Silhouette
BONJOUR ABSOLUTE,UNIVERS,20.78,5.0,74.22,CEWE,EDT,100.0,200000,2,0.023313597362867436
BONJOUR AMBRE,SWEET BABY,12.69,5.0,82.31,CEWE,EDT,30.0,149400,0,0.41682709040972493
BONJOUR Aqua,WINNER,8.2,5.0,86.8,CEWE,EDT,50.0,178900,1,0.6280244599804244
BONJOUR Aqua,TARINA,5.1,5.0,89.9,COWO,EDT,100.0,200000,2,0.11092570123738262
BONJOUR BACK IN RED,ROUGH BACCA,15.63,10.0,74.37,CEWE,EDP,100.0,200000,2,0.33739040027347744
BONJOUR BLUE CIRCLE,ACTIVE DESIRE,17.83,10.0,72.17,CEWE,EDP,100.0,200000,2,0.299778885844177
BONJOUR COTTON SPARKLE,COTTON,12.24,5.0,82.76,CEWE,EDP,30.0,149200,0,0.41704948197421815
BONJOUR ELEGANT,ALEJANDRO,14.72,10.0,75.28,CEWE,EDP,100.0,200000,2,0.3540650790526201
BONJOUR EXPLORER,THE ADVENTURE,25.0,5.0,70.0,COWO,EDP,100.0,200000,3,0.019004220425869533
BONJOUR FAIRYTALE,MADLY IN LOVE,10.79,5.0,84.21,CEWE,EDP,30.0,148500,0,0.3983877793889247
BONJOUR FOREVER MUSK,SWEET BABY ,17.31,10.0,72.69,CEWE,EDP,100.0,200000,2,0.3083457484253317
BONJOUR FOREVER YOUNG,FOREVER YOUNG,13.04,5.0,81.96,CEWE,EDP,30.0,149500,0,0.4154285859746853
BONJOUR Fresh,SPORT ALLURING,7.2,10.0,82.8,CEWE,EDP,100.0,200000,2,0.488821791640002
BONJOUR Fresh,EXHALIA,7.8,10.0,82.2,CEWE,EDP,50.0,176400,1,0.4757546514192187
BONJOUR GREEN TEA,DYNAMIC  TEA,12.0,5.0,83.0,CEWE,EDP,30.0,149000,0,0.41723379237101504
BONJOUR MAGNOLIA BLOOM,HAPPINES,8.7,5.0,86.3,CEWE,EDP,30.0,147600,0,0.335618038142039
BONJOUR Mystic,ROSE+PINK PEPPER,7.8,5.0,87.2,CEWE,EDP,50.0,178600,1,0.6257792906951883
BONJOUR Mystic,HERO IS YOU,7.7,10.0,82.3,CEWE,EDP,100.0,200000,2,0.4867593050024923
BONJOUR ONLY YOU,FOREVER YOUNG,24.8,10.0,65.2,CEWE,EDP,100.0,200000,2,0.05814370279690125
BONJOUR QUANTUM,BLUE SEDUCE,19.61,10.0,70.39,CEWE,EDP,100.0,200000,2,0.26956781480832237
BONJOUR VANILA SILK,PARISIA CANE,11.28,5.0,83.72,CEWE,EDP,30.0,148700,0,0.4079825394998598
BONJOUR WONDERFUL,TARINA,10.83,5.0,84.17,CEWE,EDP,30.0,148500,0,0.39966202428861997
BURGUNDY Aqua,COCO,9.5,10.0,80.5,CEWE,EDP,50.0,177600,1,0.454639211291111
BURGUNDY Aqua,CASCAVEL,5.2,10.0,84.8,CEWE,EDP,100.0,200000,2,0.47981326149202796
BURGUNDY Aqua,ROMANTIC GIRL,5.7,5.0,89.3,CEWE,EDP,100.0,200000,2,0.11659834880604311
BURGUNDY BEROCCA,ROUGH BACCA,23.36,10.0,66.64,COWO,EDP,100.0,200000,2,0.1494738037608262
BURGUNDY Bloom,EXHILARANT,7.5,5.0,87.5,CEWE,EDP,50.0,178400,1,0.6228233378685454
BURGUNDY Elegant,EMBRACER+VANILLA ,8.7,5.0,86.3,CEWE,EDP,100.0,200000,2,0.12830148039342812
BURGUNDY Elegant,FRENCH RIVIERA,8.8,10.0,81.2,CEWE,EDP,100.0,200000,2,0.4734309508475682
BURGUNDY Elegant,AF GIRLY TFR,8.1,10.0,81.9,CEWE,EDP,50.0,176600,1,0.47433316774990003
BURGUNDY Fresh,YASMIN WHISPER,9.5,10.0,80.5,CEWE,EDP,100.0,200000,2,0.4604843469369267
BURGUNDY Fresh,YANTI S19,8.7,10.0,81.3,CEWE,EDP,100.0,200000,2,0.4751117094710443
BURGUNDY Fresh,ANGEL+VANILLA+TAGAT,5.3,10.0,84.7,COWO,EDP,100.0,200000,2,0.4810719272975249
BURGUNDY IMPERATIVE,LEONA,28.0,10.0,62.0,CEWE,EDP,100.0,200000,3,0.12092455615394883
BURGUNDY LA VIE ROSE,SUPER BOWL,27.78,10.0,62.22,COWO,EDP,100.0,200000,3,0.1084995137053819
BURGUNDY LYLAC,TARINA,25.42,10.0,64.58,UNISEX,BM,100.0,200000,2,0.01623124854353074
BURGUNDY Mystic,BE FABULOUS,9.8,5.0,85.2,UNISEX,BM,50.0,180100,1,0.6231348482509518
BURGUNDY Mystic,PURE PURITY,9.7,10.0,80.3,CEWE,BM,100.0,200000,2,0.45645767809782567
BURGUNDY NUIT INTENSE,NIGHT CLUB IRISH,36.63,10.0,53.37,CEWE,BM,100.0,200000,3,0.3750997438484012
BURGUNDY SEXY ROSE,PETALS IN SAND,35.71,10.0,54.29,CEWE,BM,100.0,200000,3,0.36128580666153826
BURGUNDY STRONGER FOR YOU,MY KNIGHT,17.86,10.0,72.14,UNISEX,BM,100.0,200000,2,0.29927392778821404
BURGUNDY VIRTUOUS,EXHILARANT,32.26,10.0,57.74,CEWE,BM,100.0,200000,3,0.2873399324315811
HMNS  DOS,DROP OF SUNSHINE+TAGAT,12.5,22.5,65.0,CEWE,BM,250.0,200000,2,0.23339355327329572
HMNS ALPHA,ALPHA,30.0,0.0,70.0,CEWE,BM,100.0,200000,3,0.12791754926323606
HMNS AMBAR,AMBAR,15.0,0.0,85.0,CEWE,BM,50.0,186200,1,0.3780645524089197
HMNS Aqua,AMBAR,8.7,5.0,86.3,UNISEX,EDP,100.0,200000,2,0.12830148039342812
HMNS Bloom,NAZRIL,5.3,10.0,84.7,UNISEX,EDP,100.0,200000,2,0.4810719272975249
HMNS ELEA,ANGEL+TAGAT,10.0,20.0,70.0,UNISEX,EDP,250.0,200000,2,0.26445616295589
HMNS FAIRYTALE FANTASY,SNOW WHITE+GLYCERIN+TAGAT,12.5,22.5,65.0,UNISEX,EDP,250.0,200000,2,0.23339355327329572
HMNS FARHAMPTON,FARHAMPTON+UVINUL+CI GREY,30.03,0.0,69.97,UNISEX,EDP,100.0,200000,3,0.12894799511471036
HMNS Fresh,WINNER,6.6,10.0,83.4,CEWE,BM,50.0,175400,1,0.47408488462562326
HMNS Fresh,VANILLA,7.5,10.0,82.5,CEWE,BM,100.0,200000,2,0.48786807518663083
HMNS Fresh,SPORT ALLURING,5.2,10.0,84.8,CEWE,BM,100.0,200000,2,0.47981326149202796
HMNS Fresh,ANGEL+TAGAT,6.2,10.0,83.8,CEWE,BM,50.0,175200,1,0.4711416587626404
HMNS JANMA,JANMA,15.0,0.0,85.0,CEWE,BM,50.0,186200,1,0.3780645524089197
HMNS Mystic,ROMANTIC GIRL,5.5,10.0,84.5,CEWE,BM,100.0,200000,2,0.48300356426037283
HMNS Mystic,DROP OF SUNSHINE+TAGAT,7.5,5.0,87.5,CEWE,BM,50.0,178400,1,0.6228233378685454
HMNS Mystic,NAVINA PRIMA,8.8,5.0,86.2,CEWE,BM,100.0,200000,2,0.12779845112457097
HMNS Mystic,ICE CREAM+VANILLA,7.2,10.0,82.8,CEWE,BM,50.0,175900,1,0.4756922692542956
HMNS PERFECTION,PERFECTION MOD,15.0,0.0,85.0,CEWE,BM,100.0,200000,1,0.1315016617677409
HMNS SYMPHONY OF FLOWERS,SERENDIPTY,12.5,22.5,65.0,CEWE,BM,250.0,200000,2,0.23339355327329572
HMNS UNTITLED,MAD OVER YOU MOOD,15.0,0.0,85.0,CEWE,BM,100.0,200000,1,0.1315016617677409
HOT Aqua,CRAZY FOR YOU,9.3,10.0,80.7,CEWE,BM,50.0,177500,1,0.4584787497055023
HOT Aqua,OSTARA,7.7,10.0,82.3,CEWE,BM,100.0,200000,2,0.4867593050024923
HOT Fresh,SWEET VANILLA PERFECT,6.9,10.0,83.1,CEWE,EDP,100.0,200000,2,0.48890944444468404
HOT Fresh,ROMANTIC GIRL,5.3,5.0,89.7,UNISEX,EDP,100.0,200000,2,0.11291837867007715
HOT ICE AQUA VICTORY,VICTORY,20.83,10.0,69.17,CEWE,EDP,100.0,200000,2,0.25002447956432977
HOT ICE SAVIOR,CAST AWAY,8.36,10.0,81.64,UNISEX,EDP,100.0,200000,2,0.4800038150672032
HOTICE  BON BON SHIMMER,LEONA,8.0,5.0,87.0,CEWE,EDP,50.0,178800,1,0.6268727730300412
HOTICE Aqua,GOLDEN CELESTIAL,8.3,10.0,81.7,CEWE,EDP,50.0,176700,1,0.47301520016455445
HOTICE Aqua,ACTIVE DESIRE,8.0,10.0,82.0,UNISEX,EDP,50.0,176500,1,0.47514518147066787
HOTICE BON BON SPARKLE,EXHALIA,9.09,5.0,85.91,UNISEX,EDP,50.0,179600,1,0.6282463765234858
HOTICE BON BON SWEET DREAM,SWEET BABY,7.4,5.0,87.6,CEWE,EDT,50.0,178300,1,0.6216095785168271
LELIDO Aqua,MAD OVER YOU MOOD,6.3,10.0,83.7,CEWE,EDT,100.0,200000,2,0.48783011870312243
LELIDO BERRY LICIOUS,PURE PURITY,3.66,10.0,86.34,UNISEX,EDT,200.0,200000,2,0.40223623177017503
LELIDO BIG HUGS,URBAN HEEL,4.61,10.0,85.39,CEWE,EDP,200.0,200000,2,0.40505254380998335
LELIDO Bloom,AGGRESSIVE BOY,9.8,10.0,80.2,CEWE,EDT,50.0,177800,1,0.44779747908541867
LELIDO Bloom,URBAN HEEL,7.7,10.0,82.3,COWO,EDP,50.0,176300,1,0.4760055282501571
LELIDO Bloom,ICE CREAM+VANILLA,7.3,10.0,82.7,CEWE,BM,100.0,200000,2,0.4886171858178803
LELIDO CHERRY BLOSSOM,ROMANTIC GIRL,2.59,10.0,87.41,CEWE,BM,200.0,200000,2,0.39696354885734925
LELIDO Elegant,BLOOMING TON,6.7,5.0,88.3,CEWE,BM,100.0,200000,2,0.12396579489515948
LELIDO Elegant,GROVY,5.6,5.0,89.4,CEWE,BM,50.0,177000,1,0.5894398570370377
LELIDO LOVE SNOW,SWEET BABY,3.7,10.0,86.3,COWO,EDT,200.0,200000,2,0.40239226735764005
LELIDO MAN IN BLUE,NAZRIL,21.05,10.0,68.95,COWO,EDT,100.0,200000,2,0.2465247416679044
LELIDO MATRIX,BASE ,12.2,10.0,77.8,COWO,EDT,100.0,200000,2,0.40367263302701006
LELIDO Mystic,INVITAS MOOD,8.3,5.0,86.7,UNISEX,EDP,100.0,200000,2,0.1288994342435654
LELIDO WARM VANILLA HUGS,VANILLA,2.29,10.0,87.71,UNISEX,EDP,200.0,200000,2,0.3951492346905185
MADAM Aqua,NOCTURNE,7.6,5.0,87.4,COWO,EDP,100.0,200000,2,0.12746271009306223
MADAM Bloom,BLOOMING TON,8.9,10.0,81.1,COWO,EDP,50.0,177200,1,0.46549511538497873
MADAM Elegant,LASPOZAS,5.7,10.0,84.3,COWO,EDP,100.0,200000,2,0.48451550559360224
MADAM Elegant,VANILLATAGAT,9.2,10.0,80.8,UNISEX,SP,50.0,177400,1,0.4606980736657916
MADAM Fresh,MY KNIGHT,5.1,5.0,89.9,UNISEX,SP,50.0,176600,1,0.5783490612134579
MADAM GIE ALTHEA,SIVIRA,18.45,5.0,76.55,UNISEX,SP,30.0,152000,0,0.29731914172975116
MADAM GIE GUINEVERE,LIBERICA,6.62,5.0,88.38,CEWE,BM,30.0,146600,0,0.27067134766358414
MADAM GIE JULIETEE,EXPLOISON,13.14,5.0,81.86,CEWE,BM,30.0,149600,0,0.41290979150477375
MADAM GIE PERCY,BE FABULOUS,14.91,5.0,80.09,CEWE,EDP,30.0,150400,0,0.37771149368402085
MADAM Mystic,PARISIA CANE,8.8,5.0,86.2,CEWE,EDP,50.0,179400,1,0.6287530964508911
MINISO Aqua,NIGHT CLUB IRISH,5.2,10.0,84.8,UNISEX,EDP,50.0,174400,1,0.46064900082428195
MINISO Bloom,AGGRESSIVE BOY,8.5,5.0,86.5,CEWE,BM,50.0,179100,1,0.6290441676544855
MINISO Bloom,NAZRIL,15.0,5.0,80.0,CEWE,BM,50.0,184000,1,0.5415689856733752
MINISO Elegant,GIRLS DAY OUT,5.2,10.0,84.8,CEWE,BM,100.0,200000,2,0.47981326149202796
MINISO ETERNAL VOW MR,INVICTORUS,15.0,5.0,80.0,UNISEX,EDT,50.0,184000,1,0.5415689856733752
MINISO ETERNAL VOW MRS,CRAZY FOR YOU,15.0,5.0,80.0,UNISEX,EDT,50.0,184000,1,0.5415689856733752
MINISO Mystic,WILD ROSE+MAGNOLIA,15.0,5.0,80.0,UNISEX,EDT,50.0,184000,1,0.5415689856733752
MINISO SOULMATE BOYFRIEND,BLUE EROS,15.0,5.0,80.0,UNISEX,EDT,50.0,184000,1,0.5415689856733752
MINISO SOULMATE GIRLFRIEND,WILD ROSE+MAGNOLIA,15.0,5.0,80.0,UNISEX,EDT,50.0,184000,1,0.5415689856733752
MYKONAS BLACK OPERA,LOVE ENTHUSIAST,25.41,10.0,64.59,CEWE,EDP,100.0,200000,2,0.016925786323121313
MYKONAS Bloom,HERO IS YOU,9.2,5.0,85.8,CEWE,EDT,100.0,200000,2,0.1251244666492732
MYKONAS Elegant,SECRET SPELL,9.4,5.0,85.6,CEWE,EDT,100.0,200000,2,0.12336120420530378
MYKONAS Elegant,AMBAR,6.5,10.0,83.5,CEWE,EDT,50.0,175400,1,0.473274327161099
MYKONAS Fresh,PETALS IN SAND,8.6,5.0,86.4,CEWE,EDP,50.0,179200,1,0.6290680485241429
MYKONAS Fresh,BE FABULOUS,7.0,5.0,88.0,CEWE,BM,100.0,200000,2,0.1254860532462303
MYKONAS Mystic,MADLY IN LOVE,8.9,5.0,86.1,CEWE,BM,100.0,200000,2,0.12720085175323578
MYKONAS Mystic,POPCORN CARAMEL,9.2,5.0,85.8,CEWE,EDP,50.0,179600,1,0.6282890222539212
MYKONAS Mystic,INVICTORUS,7.1,10.0,82.9,CEWE,BM,100.0,200000,2,0.4889386505034355
MYKONOS ADELINA,ELIANA ECON,22.73,5.0,72.27,CEWE,BM,50.0,189800,1,0.2566968542761763
MYKONOS APRODITE,VANILLATAGAT,6.0,5.0,89.0,CEWE,EDT,50.0,177200,1,0.5976672738680925
MYKONOS APRODITE,ANGEL+VANILLA+TAGAT,48.78,10.0,41.22,CEWE,EDT,100.0,200000,3,0.42933748994538073
MYKONOS Aqua,AMBROSIA,8.5,10.0,81.5,CEWE,EDT,50.0,176900,1,0.4705973135384221
MYKONOS Aqua,VICTORY FM,5.6,10.0,84.4,CEWE,EDT,50.0,174700,1,0.4659040217120208
MYKONOS BABY LOVE ,SWEET BABY,9.8,10.0,80.2,CEWE,EDT,125.0,200000,2,0.4850013314206345
MYKONOS BABY LOVE ,SWEET BABY,14.81,5.0,80.19,CEWE,EDT,50.0,183900,1,0.5446742839211224
MYKONOS BERRY CARAMEL PANCAKE,VANILLA PANCAKE,10.26,5.0,84.74,CEWE,EDP,50.0,180400,1,0.6177252777536265
MYKONOS BLAZE,INVITAS MOOD,28.3,10.0,61.7,CEWE,EDP,100.0,200000,3,0.13681899497391517
MYKONOS Bloom,EXPLOISON,9.3,10.0,80.7,CEWE,EDP,100.0,200000,2,0.4643487168926309
